case_uuid,violation_uuid,state_name,citation_sequence,employer_name,employer_dba_name,employer_city,violation_category,case_status,date_opened,date_paid,date_closed,amount_claimed,amount_assessed,amount_paid
d6bc4da6-2425-490d-bd1b-18b6494012f1,3f158337-abdf-449d-8708-85a0b225a078,Massachusetts,1,Sunshine Maids ,,Westwood,overtime,,2015-01-29,,,,672.74,672.74
55376ae7-af50-41fe-a66b-c1ff9c0a7672,f7bea54a-3752-4f06-b3a8-518363664d47,Massachusetts,1,Red Tree Company ,,Salem,unpaid_wages,,2015-01-29,,,,8404.130000000001,8404.130000000001
752dbe2b-63ed-47ac-b1c5-872e42f6a97d,7b081f72-bec0-48c3-857e-8f9123cfcc0c,Massachusetts,1,Webb Transportation,,Danvers,unpaid_wages,,2015-01-30,,,,1320.0,1320.0
2222c411-2204-42e0-bafa-f59b0e9d6f2c,abe8782e-f851-4cfd-bb5a-38a0c0278f2a,Massachusetts,1,Smart Tan Salons Fastersafer UV+,,Somerville,unpaid_wages,,2015-01-30,,,,1027.0,1027.0
957d3b29-bc13-451f-814c-8e154f8c1660,d986fae8-33a7-46f7-a479-ff454ec287e6,Massachusetts,1,"Topnotch Commercial Cleaning Services, LLC",,Milton,unpaid_wages,,2015-01-30,,,,250.0,250.0
cb9742db-13c3-4aa4-9302-ce4472188cf5,e25f39b5-f4b1-47cd-b198-85782afd464c,Massachusetts,1,Melrose Pool Service,,Melrose,overtime,,2015-01-30,,,,1540.5,1540.5
d468675f-dfe8-4501-919e-e360e1d8fc3a,7f8a7a93-5c66-4c9a-87d7-8a720a18ba09,Massachusetts,1,C&R Contractor Corp,,Framingham,unpaid_wages,,2015-01-30,,,,5258.2,5258.2
8ea347ea-81f6-4672-befc-d143963b477d,e85025c0-dcd4-4960-9691-066c07b7ba03,Massachusetts,1,Ethan Allen Design Center/Andover Interiors,,North Andover,unpaid_wages,,2015-01-30,,,,6313.06,6313.06
7380721e-a111-42d3-8e0a-23354c69e560,c12e3cb3-9ce7-45a4-bf8a-9e89e6d83b2b,Massachusetts,1,C&L Service,,Mashpee,overtime,,2015-01-30,,,,747.61,747.61
d6c4db73-7933-412b-ba8a-046450e851a6,9b35ec15-75d7-49e7-9875-411c11def1bd,Massachusetts,1,Leading Edge Aviation Services,,East Windsor,overtime,,2015-01-30,,,,700.0,700.0
c24953c3-63ac-4d72-9731-bb65372d1383,77343d36-9975-419e-b2dc-cb341e1aef82,Massachusetts,1,Village Mortgage Company,,Avon,unpaid_wages,,2015-01-30,,,,2501.29,2501.29
21725d50-5cbe-4b5b-a7fb-6da8c6412b97,edbfe4a3-8e9b-4e9a-9fdf-040135c2d9c1,Massachusetts,1,Joseph P Alexopoulous Construction/Longmeadow Landscaping,,Longmeadow,unpaid_wages,,2015-01-30,,,,1136.0,1136.0
3f255856-c92d-47f5-a06d-97d7b8227157,23163c96-c367-4517-985b-8869efa6905a,Massachusetts,1,New England Roofing and Siding,,Mansfield,unpaid_wages,,2015-02-04,,,,920.0,920.0
348f0f81-8bb3-4299-a203-481f3c4dd402,43e41f87-ea31-4f1f-817c-d0434a396195,Massachusetts,1,Walker Construction Inc.,,Jamaica Plain,minimum_wage,,2015-02-04,,,,7146.83,7146.83
c9171b75-4bb0-4a08-9d21-dfc1f18abe67,18618e44-57e3-4046-a4f2-309de74c6b24,Massachusetts,1,Theodore Graham,,"Worcester, MA",unpaid_wages,,2015-02-04,,,,560.0,560.0
be014f6e-df35-4945-a0f4-e48b5285fddd,87aa65c1-dc3b-4fba-a76b-c327585ce865,Massachusetts,1,Claudinei F. Dos Santos DBA Ney Painting.,,Malden,unpaid_wages,,2015-02-04,,,,332.5,332.5
cd54f68a-c6a1-4aac-8622-7c44c4ff68d8,ce04a527-7935-4e3f-930d-af5e46d85ba8,Massachusetts,1,Bedford Plaza Hotel,,"Bedford, MA",minimum_wage,,2015-02-04,,,,25544.31,25544.31
e96a5937-2fae-499e-b8fe-699eec9fa058,fb1d618b-550d-418e-a9f8-040dd5ddb900,Massachusetts,1,Case Materials,,North Attleboro,minimum_wage,,2015-02-06,,,,2701.81,2701.81
69b539dc-79a6-4bd6-838b-45cb1d6c038b,4fe8b1d4-3151-442a-b688-0bdab2f66632,Massachusetts,1,Case Materials,,North Attleboro,minimum_wage,,2015-02-06,,,,2178.0,2178.0
4491dab1-c902-436d-b634-78a37d8d4bc2,61c50b57-b99a-4e03-a57d-0e1a017f548e,Massachusetts,1,Sam's Cleaning Co,,Worcester,unpaid_wages,,2015-02-06,,,,2560.0,2560.0
29eeb9f0-fdea-434a-a455-1f0070d36d06,b4ef9ab6-440a-42d8-9c8b-35f85ada3c15,Massachusetts,1,Sam's Cleaning Co,,Worcester,unpaid_wages,,2015-02-06,,,,300.0,300.0
59f070b0-5617-4579-ba02-b70ef1a8b8b9,143a7007-535f-46aa-bfb9-0b4476721c48,Massachusetts,1,North American Midway Entertainment Southeast,,Farmland,minimum_wage,,2015-02-17,,,,80617.22,80617.22
2b279b82-c1ad-47ec-821c-76a1b5ef11e7,df5789fe-586f-43b3-9e71-84e87605184a,Massachusetts,1,North American Midway Entertainment Southeast,,Farmland,unpaid_wages,,2015-02-17,,,,13595.73,13595.73
9d7f599f-8186-4d2e-b261-0bf5ae7729fc,3ea38e55-50c6-44f7-a455-9006d7df412e,Massachusetts,1,Boston Painting,,Somerville,unpaid_wages,,2015-02-17,,,,800.0,800.0
2bee5a68-f855-4611-9cb6-236123bf1a83,a96e6fad-fc78-4168-b9c2-a3ad138183bf,Massachusetts,1,Boston Painting,,Somerville,overtime,,2015-02-17,,,,426.25,426.25
b754a6ea-0aef-4d9b-a12b-734050c4125e,8186a267-0492-4fb9-aad1-78ec36a50e53,Massachusetts,1,Marzano Excavating Contractors,,Watertown,unpaid_wages,,2015-02-17,,,,1116.89,1116.89
a9985a4c-642e-49cf-8a20-f71de0918214,0826582c-4bf9-472c-a3de-b542ca804658,Massachusetts,1,Marzano Excavating Contractors,,Watertown,overtime,,2015-02-17,,,,376.25,376.25
cbc7a874-6f39-487d-8da3-7c903261fb52,115473fa-3a73-42af-b189-df1cf18f4962,Massachusetts,1,"Fender Bender Auto Body, Inc",,Taunton,unpaid_wages,,2015-02-18,,,,7500.65,7500.65
02dcff85-dac9-47a5-957d-280488366cac,94cae6f9-f3f2-477a-b5b5-7ab08bf73e8f,Massachusetts,1,Stephen E. Shires,,Medway,unpaid_wages,,2015-02-19,,,,117302.65,117302.65
e3b27c7b-54b3-4d28-8b3f-29582682f82b,1f2aa123-61b2-4a37-8689-da0605f5df38,Massachusetts,1,Daniel Valente,,Tewksbury,unpaid_wages,,2015-02-24,,,,812.5,812.5
e1e65c91-96d3-42b9-b928-addd6e626afb,8f70c98c-979c-48ad-ad62-a37fe07f51b9,Massachusetts,1,VIM Fitness Corporation,,Cambridge,overtime,,2015-02-24,,,,1802.23,1802.23
b56c2b24-5c65-4d1a-9f40-66c96cff14f9,96a65b4a-a065-49ea-8877-8fbd13720082,Massachusetts,1,Drift House LLC/Driftwood Publick House,,Plymouth,unpaid_wages,,2015-02-25,,,,4582.0,4582.0
7fb096b5-1586-445c-8b41-81de8045b931,81634fdb-f82b-4fe9-88dd-29ebd8671365,Massachusetts,1,Sweet Meadow Farm,,Sherborn,unpaid_wages,,2015-02-25,,,,1152.75,1152.75
b98a81fc-b533-4f6a-9c31-4bc11b9cb21f,4327829d-1e35-46ce-b5fc-ab4c9c97d408,Massachusetts,1,The Garden Breezes Café,,Springfield,unpaid_wages,,2015-02-26,,,,414.72,414.72
c2941018-5ce4-409c-ab11-64a1b8869ec1,a6ed411b-8781-40dc-bf27-8b31b9564e6a,Massachusetts,1,Palmer Construction,,Melrose,unpaid_wages,,2015-02-27,,,,8437.5,8437.5
e3824b08-e3f9-440e-917f-27ac6c82e854,1bc8de4e-154a-4ea5-9d2e-1ccee7ea69b6,Massachusetts,1,New England Gravel Haulers,,Rehoboth,minimum_wage,,2015-02-27,,,,10003.02,10003.02
2a84b6ce-36ea-4459-ace3-fcd55dd708f6,e5fda114-3d52-488b-b963-dd78e101af00,Massachusetts,1,Amherst Gourmet/Tsai Bao Cheng,,Amherst,unpaid_wages,,2015-03-02,,,,291.0,291.0
b65faa35-f551-416e-a35c-0c448c8ce4ef,0d1d27ac-97ce-4e38-a41d-ff86a5e49e77,Massachusetts,1,Southern Style Bar-be-que,,"Milford, MA",minimum_wage,,2015-03-04,,,,1930.0,1930.0
cc9c9d31-d1d2-4a19-8eb6-f41a05ca4222,8b041441-7e7b-4691-b210-8e99d4d71c5a,Massachusetts,1,Plan Inc,,Peabody,overtime,,2015-03-04,,,,3914.0,3914.0
755e5d46-a5e8-48d8-8977-a4185c9e95ff,ef6642a1-32c6-4a50-869b-aa7cc388c090,Massachusetts,1,St Germain Brothers Corporation,,Taunton,minimum_wage,,2015-03-04,,,,7444.75,7444.75
abd9a9b3-e243-4830-9100-746a0de36d61,fb3c7b6a-8857-4b2f-8700-9859065fd616,Massachusetts,1,Farah Painting Co,,Milton,overtime,,2015-03-06,,,,32559.0,32559.0
4c115c62-9ead-4da8-b612-56d661eeae54,1ac08d28-ee82-417c-a587-aa056d12ed78,Massachusetts,1,"Central Mass Pulmonary, P.C.",,Gardner,unpaid_wages,,2015-03-06,,,,2164.9,2164.9
add06ba2-0448-48c8-93e9-a99e4547008f,269aae33-a1be-4d11-b3fd-c5257e19107a,Massachusetts,1,"Oliver Twist, Inc. d/b/a Cask N Flagon & Northeast Hospitality ",,Boston,tips,,2015-03-12,,,,45430.0,45430.0
b3ffd6c9-23a6-4804-8159-3311013e1640,e76fc571-0cae-45af-ab0f-165d1560f6dd,Massachusetts,1,Alfresco Restaurant,,Cambridge,unpaid_wages,,2015-03-16,,,,3910.0,3910.0
0ce6ddbe-e1ef-42b1-90c6-37d0e249b443,2ef325d7-213c-4d8f-8b46-f2ded52a44dc,Massachusetts,1,Valentins General Contractors,,Revere,unpaid_wages,,2015-03-17,,,,248.0,248.0
8a427d62-bfb4-4c2f-a263-abdf76075bb0,8ce7a898-45f9-4497-b2ae-102027707267,Massachusetts,1,"D&D Mulch &Landscaping, Inc.",,Bellingham,overtime,,2015-03-24,,,,43674.22,43674.22
b69bfaad-eb39-4ec2-aeba-234b2d6e4195,6d3b6bf8-e6a4-4056-b958-e17d5e16306c,Massachusetts,1,Spin Services LLC ,,Boston,unpaid_wages,,2015-04-01,,,,3652.5,3652.5
e0c84fbb-4fb4-4f9a-872d-d06ec37d0d8d,0351954a-e6d4-44a2-9c4e-2c20ca259166,Massachusetts,2,"5 Wits Productions, Inc.",,Foxborough,overtime,,2015-04-06,,,,36631.21,36631.21
43bfb50d-0155-4ce2-8c82-cca5536639a6,9e624ea9-1a85-448d-9c11-8ee674cba4f3,Massachusetts,1,"NNJ Cleaning Services, Inc d/b/a Service Master",,North Andover,unpaid_wages,,2015-04-08,,,,13502.05,13502.05
9a46bab7-02ec-4164-8950-b1f947db202f,c65530b6-05a9-4566-a04f-8ec0eca09498,Massachusetts,1,Y.Y.N. LLC d/b/a Alpha Pizza and Wings ,,Maynard,unpaid_wages,,2015-04-09,,,,1516.75,1516.75
15f7dcb0-4e34-404c-b606-f4624fbf8bf1,4a38fb2c-5f4f-4aba-9a06-27013f226b19,Massachusetts,1,Wasabi Natick Corporation,,Arlington,tips,,2015-04-09,,,,7847.0,7847.0
7c882db3-a1ff-4982-b68f-f946d7155924,9cfbe940-9e02-408a-af00-6a2feef2186a,Massachusetts,1,Capstan Atlantic ,,Carson,unpaid_wages,,2015-04-09,,,,2235.81,2235.81
e58a55d0-fcca-42db-9502-ff63e96f3edd,ed5761d7-95ad-49c4-9837-987d573f82be,Massachusetts,1,"CND Temp Agency, Inc.",,New Bedford,overtime,,2015-04-10,,,,8722.369999999999,8722.369999999999
6a7ea4af-58a0-41d7-9d51-7bd2109454a2,ea3e8dcf-ca8e-4378-851f-bfb3f0d6065c,Massachusetts,1,"Queiroz Construction & Services, Inc.",,"Milford, MA",overtime,,2015-04-10,,,,1115.8200000000002,1115.8200000000002
bb1f6941-e1a1-496e-9955-9f6d2ec348c3,171e9c3f-d28a-44cb-b8e8-0fd2fba41d79,Massachusetts,1,"Queiroz Construction & Services, Inc.",,"Milford, MA",unpaid_wages,,2015-04-10,,,,1717.0,1717.0
e80d2192-269b-4225-945e-bbda11ca7ca2,bb58c97c-8ed4-4390-bab1-dd631d5a23a8,Massachusetts,1,"Queiroz Construction & Services, Inc.",,"Milford, MA",unpaid_wages,,2015-04-10,,,,250.0,250.0
fa840874-df2d-44ac-ab66-daff82682da7,4709ae67-ff94-4301-adb3-812b67e2a1a3,Massachusetts,1,The Ultimate Cocktail Party,,Newton,unpaid_wages,,2015-04-14,,,,737.0,737.0
7e8856e8-0788-445f-bc58-f46d6d29f757,cb988082-7b4c-4843-ad02-9b5daf470383,Massachusetts,1,Quality Builders,,Greenfield,minimum_wage,,2015-04-14,,,,2269.54,2269.54
ebcc4e7a-5726-45b1-bcc3-23b8caf1bfe3,270bfe8d-94b3-4b51-9f5f-d5b2a7fd2a55,Massachusetts,1,M & E Holdings Inc,,Chicopee,minimum_wage,,2015-04-17,,,,242.5,242.5
e1cd00c9-f25f-4616-aff7-e7006bad6149,00dfdb5c-5d91-4d39-8145-c675a7827ae1,Massachusetts,1,"AMS Floors, LLC ",,Westfield,overtime,,2015-04-17,,,,6407.27,6407.27
b9daf750-6ca7-48b8-8051-511823664d9c,e175fdce-5d27-4604-a306-43cc2e21eb95,Massachusetts,1,"Gomez Enterprises III, LLC ",,South Hadley,unpaid_wages,,2015-04-17,,,,936.85,936.85
a199bdad-6b1a-45e4-b6a9-0c681707295e,33a69a7d-14eb-439a-b248-ca8027217330,Massachusetts,1,Golden Booty Tanning LLC ,,Amherst,unpaid_wages,,2015-04-17,,,,658.63,658.63
08b23c4e-dd64-43b9-a294-e33134b15369,9e8d7053-f97e-4870-91b3-e1ad4a9657ec,Massachusetts,1,The Carpet Workshop ,,Pelham,minimum_wage,,2015-04-22,,,,1153.04,1153.04
02e5b85e-750e-4a28-b90c-6d60b5b0da8e,8051f730-0034-4437-b0ce-f40375f22706,Massachusetts,1,"Liberty Building Group, LLC ",,Norwood,minimum_wage,,2015-04-23,,,,500.0,500.0
7a0014ab-b31b-488a-9c36-f716d73dc042,97d9968e-4314-41f9-bc6c-96888e32de33,Massachusetts,1,"Diaz Construction Co., Inc.",,Avon,overtime,,2015-04-27,,,,9318.25,9318.25
eb520dd1-c085-4632-9deb-09a006d5a40f,2fced23d-8545-4304-b227-1184c85952c2,Massachusetts,1,"Top Knotch Tree Service, Inc.",,Agawam,minimum_wage,,2015-05-05,,,,49131.57,49131.57
fede7d3a-4dc4-40c5-86d1-6ca9fece4ecb,3724bea4-2d79-4cca-9b7c-b19a50127547,Massachusetts,1,"Casey Landscape & Tree Care, Inc",,Mashpee,unpaid_wages,,2015-05-06,,,,1212.0,1212.0
1c5afb68-9335-46db-a698-b83f6578c61f,23349031-b7e3-4dcf-85c2-b3e46a3d5830,Massachusetts,1,"Jose A. Monteiro, M.D., P.C. ",,Fall River,overtime,,2015-05-06,,,,4345.59,4345.59
8968622f-1906-49bb-927c-36868fa7c0b9,f09c95fd-a902-4586-b517-1bc0179daeec,Massachusetts,1,Ela Contracting Company ,,Arlington,unpaid_wages,,2015-05-07,,,,5864.08,5864.08
68297a45-1260-4f23-84b8-a76faee6b9c8,ab405e57-6bca-4c4a-ba70-a148fb2a64ad,Massachusetts,1,Appetito Restaurant ,,Stoughton,unpaid_wages,,2015-05-07,,,,308.24,308.24
7a0403f4-9be1-4e50-a7d0-3f97b311db8b,3b366386-9e4b-4286-bd5e-8fd2541a71c7,Massachusetts,1,"ReadyJet, Inc.",,Cleverdale,unpaid_wages,,2015-05-13,,,,11194.97,11194.97
9ebeeb43-5a75-4527-a80d-87d937eba58b,bbe653a9-1658-403b-9456-9d108da03c82,Massachusetts,1,"ReadyJet, Inc.",,Cleverdale,unpaid_wages,,2015-05-14,,,,11397.26,11397.26
a9689c90-4ef2-4550-b17d-c65f19c9c3a9,be8ad944-e7f1-403e-a6da-0b50d7eb51f7,Massachusetts,1,"ReadyJet, Inc.",,Cleverdale,overtime,,2015-05-14,,,,7857.5,7857.5
58af0dff-80a6-404e-89e3-ed716992976a,6214d8e5-63c7-4525-9d8d-19075abd1c2e,Massachusetts,1,"Happy at Home, LLC ",,Waltham,overtime,,2015-05-15,,,,835.25,835.25
1a81f047-b9eb-4048-ab5d-fdae0d9b009f,2900cea5-ae16-475c-b527-2ef8ad20be64,Massachusetts,1,"Happy at Home, LLC ",,Waltham,unpaid_wages,,2015-05-15,,,,60.0,60.0
82165ae8-0bac-4a8c-bbf7-f9bb3e82ab11,9b8f5a00-08b6-49b9-b3b3-18542c3a64c3,Massachusetts,1,The Terrace Café,,Wrentham,unpaid_wages,,2015-05-15,,,,750.95,750.95
e9a22917-7c95-499e-87ca-16270a0fd21b,b952a445-5bdf-4a5e-8378-5e010d9f7071,Massachusetts,1,"Maid Clean, LLC ",,Hanover,unpaid_wages,,2015-05-15,,,,165.1,165.1
1cfe76aa-a26d-45aa-8a4a-08ce2e092251,dccacc78-bced-49e8-b745-a222fad6119c,Massachusetts,1,"North Shore Food Group, LLC d/b/a Scosso Restaurant",,Reading,unpaid_wages,,2015-05-15,,,,300.25,300.25
62c4de78-bb9f-4ae7-b5c8-d91dae1e69e6,1072bc19-69cc-4dd1-b237-4f507fcc85d3,Massachusetts,1,"Granite Ave Flower Shop, LLC d/b/a Milton Flower Shop",,Milton,unpaid_wages,,2015-05-15,,,,3220.16,3220.16
4c0fa7f0-9ecd-4d69-95a4-29acb9c8df21,9df9c1ea-f150-4df3-ae2a-505672539d3f,Massachusetts,1,USA Pool Management ,,Roswell,unpaid_wages,,2015-05-29,,,,1097.84,1097.84
c1631478-245b-4a19-81bc-ca31d49e3f60,b80724e1-937e-407e-a973-2d6f41913c08,Massachusetts,1,Citrus Trading Corporation ,,Grafton,minimum_wage,,2015-06-01,,,,59.0,59.0
260f9116-97a2-49c0-bf21-7c7ec016adff,4bcc7d02-36b0-4db1-993c-951821cf5089,Massachusetts,1,"The Westfield News Group, LLC ",,Westfield,unpaid_wages,,2015-06-01,,,,500.0,500.0
16b98b08-4658-450c-aca4-b3036ae7cd19,b8ee2288-b75f-42ca-b6d9-36ad58f3b2c4,Massachusetts,1,"Vesuvio, LLC",,Feeding Hills,unpaid_wages,,2015-06-02,,,,1840.87,1840.87
079071b0-e32d-4e71-83eb-031fe12e924c,591ccab7-bb58-4254-b161-6ecf1db5b4a2,Massachusetts,1,"Le Cordon Bleu College of Culinary Arts, Inc.",,Schaumburg,unpaid_wages,,2015-06-02,,,,500.0,500.0
cfe474bf-d5b3-4ee7-a8d0-d3783a609f48,f88b85ff-9787-4093-bafb-2f922f88bf12,Massachusetts,1,"Capron Falls Salon & Spa, Inc.",,Uxbridge,unpaid_wages,,2015-06-03,,,,478.6,478.6
8381e062-f932-4695-880f-c8201ea7869b,128cf47b-f358-42bd-855f-bd1d742d0a9a,Massachusetts,1,Niall Hopkins Builders ,,South Yarmouth,overtime,,2015-06-08,,,,164.0,164.0
7135881b-cc1f-45c5-b41c-6d64f55eeb0b,a5eb608e-c5e9-411a-b9a2-47d23649545c,Massachusetts,1,White Stone Painting ,,Pittsfield,unpaid_wages,,2015-06-09,,,,6995.0,6995.0
a1b3370e-4073-4529-99b5-bcfaa9a604ae,83b361bf-08e3-4efd-95b1-79c673855e53,Massachusetts,1,The Middlesex Corporation ,,Littleton,minimum_wage,,2015-06-11,,,,4536.59,4536.59
0e26aedc-fed6-42a7-b5a7-1e1f993b10ce,2f64c916-6101-4dfc-af44-c3728c0c3803,Massachusetts,1,Rozafa Mediterranian Bistro Services ,,Quincy,unpaid_wages,,2015-06-11,,,,1561.2,1561.2
0ecc15af-14eb-4058-8f48-3730d6acf9ba,541e077e-33dd-44a9-9396-73da2ad3529a,Massachusetts,1,"John Hoadley Plumbing and Heating, Inc.",,Rockland,unpaid_wages,,2015-06-12,,,,250.0,250.0
70a68f08-e9ec-4b6d-828e-789cb912cc31,cfd36172-06cb-4bf7-8003-65533a9b8d75,Massachusetts,1,Carvallo - Carvallo Inc. d/b/a Beaumont Solar Co. ,,New Bedford,minimum_wage,,2015-06-12,,,,94637.6,94637.6
ce6432c2-c984-4155-a9ca-756b539c9f03,0fe56169-8fb8-442b-b5c6-0848b52b4670,Massachusetts,1,Carvallo - Carvallo Inc. d/b/a Beaumont Solar Co. ,,New Bedford,minimum_wage,,2015-06-12,,,,10834.56,10834.56
1f976203-ce98-48f4-8e45-2f9e4e797960,6616b4a7-4b77-470c-8dbf-746d4f8606f6,Massachusetts,1,"EMC Drywall, LLC ",,Fitchburg,minimum_wage,,2015-06-16,,,,17527.08,17527.08
996d69dd-5924-4095-9387-9f216e91a9a5,65b981f3-2ffc-479b-8aff-d3d087ae494d,Massachusetts,1,"Phoenix Communications, Inc.",,Shrewsbury,minimum_wage,,2015-06-16,,,,983.35,983.35
70d2dd5a-927e-41a6-b7fa-e66e3a7cc729,c74d512a-4cef-4d0f-80c4-64a4ca1cee98,Massachusetts,1,"Phoenix Communications, Inc.",,Shrewsbury,overtime,,2015-06-16,,,,5954.05,5954.05
5394694f-6d4a-40c9-9bb8-a706c81ae3ef,0dda5900-7bd6-4b1f-a12e-280031c841cf,Massachusetts,1,"Simmons Concrete Construction, LLC ",,New Bedford,minimum_wage,,2015-06-19,,,,809.59,809.59
df66c3c9-b63a-4bce-8ccc-35fdcbfa8749,038fdd27-c3c3-4a46-89b8-cd8e644fd3c3,Massachusetts,1,Mitopon Construction ,,Leominster,minimum_wage,,2015-06-24,,,,3273.86,3273.86
1a7d56cb-a81a-4745-9caa-5f6785c5077c,a792f1d3-0e2b-46f6-906d-ff439e353e98,Massachusetts,1,"Equinox Holdings, Inc.",,New York,unpaid_wages,,2015-06-25,,,,2200.0,2200.0
5dac7d9a-63d5-4ee3-ad6f-52d9574398df,600aa0b3-771e-4094-8470-fd0d90fa0943,Massachusetts,1,"Pacific Drywall, LLC ",,Dorchester,unpaid_wages,,2015-06-30,,,,11283.19,11283.19
6c95089a-b399-44b3-b902-6fb4dd780189,357e3465-5d73-4258-b1e0-05572987212c,Massachusetts,1,"Pacific Drywall, LLC ",,Dorchester,minimum_wage,,2015-06-30,,,,7742.72,7742.72
974be972-47ba-4be0-96fc-3c00d8e78589,38e5f1a4-6c28-4eac-8564-9ec204b57739,Massachusetts,1,"Encore Holdings, LLC ",,Pawtucket,minimum_wage,,2015-06-30,,,,79633.68,79633.68
bd0b68e3-2450-4f38-9a80-d83ead56f062,a82cdd3d-de56-429f-a665-f7f1e0170ccb,Massachusetts,1,Centerline Transportation LLC,,Leominster,unpaid_wages,,2015-07-07,,,,5376.72,5376.72
f8382402-45e0-4606-9920-3642687a19d2,0bddcd63-f864-47bc-9353-734f0d1132d1,Massachusetts,1,"W & I Construction, Inc.",,Agawam,unpaid_wages,,2015-07-07,,,,3165.0,3165.0
1ad8baf2-5b92-4cf6-96b0-e81dda3e4b3f,55e779e8-220b-434c-8b84-19dde2b486a3,Massachusetts,1,Gail Force Fence ,,Plymouth,minimum_wage,,2015-07-07,,,,11875.91,11875.91
826ef7b9-d265-490d-aa3c-8a3a5f60d1a9,f4fce758-6828-4b2d-8374-0a3cf7971b36,Massachusetts,1,Tigerlily Hair Inc d/b/a Tigerlily Florist ,,Braintree,unpaid_wages,,2015-07-07,,,,250.0,250.0
6da29e48-80a9-462a-953c-cff6b7fba5d6,11919cc2-6d47-4018-a019-4bcb032cb378,Massachusetts,1,Smart Colors Painting Corporation ,,Revere,unpaid_wages,,2015-07-07,,,,1240.0,1240.0
1ac042bb-09f4-4ea9-949e-7cb780045028,ea57c2a2-6ad7-4afa-9572-53b79d2d1f0e,Massachusetts,1,Smart Colors Painting Corporation ,,Revere,overtime,,2015-07-07,,,,4398.75,4398.75
c0679b0c-7c5d-4826-989d-aa7bb5181d3e,cfccd12f-0cb6-4c6e-a3c3-7e757b16cb64,Massachusetts,1,"Topnotch Commercial Cleaning Services, LLC",,Milton,minimum_wage,,2015-07-08,,,,152.0,152.0
e9865f24-08b6-4a44-9a87-54541aaa5429,adf89f8b-c6a5-4ba2-a132-5584926070ab,Massachusetts,1,"Topnotch Commercial Cleaning Services, LLC",,Milton,unpaid_wages,,2015-07-08,,,,1000.0,1000.0
0ba74573-075d-484b-8e16-7a23309f24ac,4fdbba62-a270-41f4-8138-b81a8908e640,Massachusetts,1,"Topnotch Commercial Cleaning Services, LLC",,Milton,overtime,,2015-07-08,,,,5000.0,5000.0
9de22830-c20d-41ed-adde-c26f93cb3c77,6e24696d-a421-49ab-969d-f88b32bd6697,Massachusetts,1,King of Wings Company ,,Chelsea,unpaid_wages,,2015-07-08,,,,988.48,988.48
