 ,CASE NUMBER,DATE RECEIVED,ACCOUNT NAME,ACCOUNT DBA NAME,NAICS CODE,CASE STATUS,CLAIM AMOUNT,AMOUNT ASSESSED,PAYMENTS RECEIVED
,2014-0006,2013-07-23,"RD ANGELL MASONRY CO., INC.                                 ","RD ANGELL MASONRY CO., INC.                                 ",,CLOSED,10088.9,20177.8,9528.33
,2014-0010,2013-07-23,"PREMIER CARPET, INC.                                        ","PREMIER CARPET, INC.                                        ",,CLOSED,1693.01,3386.02,0.0
,2014-0007,2013-08-30,HKS CONSTRUCTION HOLDING CORP                               ,HKS CONSTRUCTION HOLDING CORP                               ,,CLOSED,22065.64,44131.28,14697.36
,2014-0009,2013-09-17,"PREMIER CARPET, INC.                                        ","PREMIER CARPET, INC.                                        ",,CLOSED,19680.03,39360.06,0.0
,2014-0012,2013-09-27,CAPEWAY ROOFING SYSTEMS INC.                                ,CAPEWAY ROOFING SYSTEMS INC.                                ,,CLOSED,9500.78,28502.34,19001.56
,2014-0024,2013-10-01,CAPE & ISLAND TENNIS & TRACK                                ,CAPE & ISLAND TENNIS & TRACK                                ,,CLOSED,298.12,596.24,298.12
,2014-0011,2013-10-10,"G. LOPES CONSTRUCTION, INC.                                 ","G. LOPES CONSTRUCTION, INC.                                 ",,CLOSED,761.84,1523.68,761.84
,2014-0017,2014-01-08,BRAND SERVICES - STONINGTON SERVICES LLC                    ,BRAND SERVICES - STONINGTON SERVICES LLC                    ,,CLOSED,695.18,1390.36,695.18
,2014-0019,2014-01-09,O'SULLIVAN FLOORING CO. INC.                                ,O'SULLIVAN FLOORING CO. INC.                                ,,CLOSED,13475.24,26950.48,13475.24
,2014-0025,2014-02-17,"CARDOSO CONSTRUCTION, LLC                                   ","CARDOSO CONSTRUCTION, LLC                                   ",,CLOSED,351811.63,703623.26,70120.0
,2014-0027,2014-03-14,JM PAINTING & PLASTERING LLC                                ,JM PAINTING & PLASTERING LLC                                ,,CLOSED,321.78,643.56,321.78
,2014-0028,2014-03-14,JM PAINTING & PLASTERING LLC                                ,JM PAINTING & PLASTERING LLC                                ,,CLOSED,33.86,67.72,33.86
,2014-0029,2014-03-14,JM PAINTING & PLASTERING LLC                                ,JM PAINTING & PLASTERING LLC                                ,,CLOSED,74.11,148.22,74.11
,2014-0030,2014-04-21,SUPREME RESTORATION                                         ,SUPREME RESTORATION                                         ,,CLOSED,1183.66,1775.49,0.0
,2014-0032,2014-05-01,STRUCTURAL PRESERVATION SYSTEMS LLC                         ,STRUCTURAL PRESERVATION SYSTEMS LLC                         ,,CLOSED,2422.83,4845.66,0.0
,2014-0034,2014-06-13,RHODE ISLAND REPAIR INC.                                    ,RHODE ISLAND REPAIR INC.                                    ,,CLOSED,78.08,78.08,0.0
,2014-0043,2014-06-25,LANGFORD BROS. EXCAVATING                                   ,LANGFORD BROS. EXCAVATING                                   ,,CLOSED,2278.1,4556.2,2278.1
,2014-0036,2014-06-26,PTASZEK CONSTRUCTION                                        ,PTASZEK CONSTRUCTION                                        ,,CLOSED,38.6,38.6,0.0
,2014-0038,2014-06-26,NEXGEN MECHANICAL                                           ,NEXGEN MECHANICAL                                           ,,CLOSED,1240.5,2481.0,1240.5
,2014-0042,2014-06-26,"UNIQUE METAL WORKS, LLC                                     ","UNIQUE METAL WORKS, LLC                                     ",,CLOSED,16.22,16.22,0.0
,2015-0001,2014-06-27,RHODE ISLAND READY MIX LLC                                  ,RHODE ISLAND READY MIX LLC                                  ,,CLOSED,3310.68,6621.36,3310.67
,2015-0002,2014-07-01,VIKING SAND                                                 ,VIKING SAND                                                 ,,CLOSED,1104.13,2208.26,1104.13
,2015-0003,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,431.01,431.01,0.0
,2015-0004,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,552.78,552.78,0.0
,2015-0005,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,398.36,398.36,0.0
,2015-0006,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,647.26,647.26,0.0
,2015-0007,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,914.04,914.04,0.0
,2015-0008,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,3866.61,3866.61,0.0
,2015-0009,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,654.29,654.29,0.0
,2015-0010,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,895.22,895.22,0.0
,2015-0011,2014-07-24,DOME CONSTRUCTION                                           ,DOME CONSTRUCTION                                           ,,CLOSED,1753.03,1753.03,0.0
,2015-0018,2014-08-18,NEW ENGLAND DRYWALL                                         ,NEW ENGLAND DRYWALL                                         ,,CLOSED,5859.44,11718.88,5859.44
,2015-0028,2014-12-02,INSPIRED TECHNOLOGY AND COMMUNICATION                       ,INSPIRED TECHNOLOGY AND COMMUNICATION                       ,,CLOSED,31701.08,63402.16,30380.24
,2016-0001,2014-12-30,ATSALIS BROTHERS PAINTING COMPANY                           ,ATSALIS BROTHERS PAINTING COMPANY                           ,,CLOSED,161752.4,323504.8,161752.41
,2015-0047,2015-01-12,CHEROKEE DEWATERING                                         ,CHEROKEE DEWATERING                                         ,,CLOSED,1281.5,2563.0,2349.26
,2015-0048,2015-01-12,CHEROKEE DEWATERING                                         ,CHEROKEE DEWATERING                                         ,,CLOSED,1067.76,2135.52,0.0
,2015-0050,2015-03-30,"SALO LANDSCAPE & CONSTRUCTION CO., INC.                     ","SALO LANDSCAPE & CONSTRUCTION CO., INC.                     ",,CLOSED,47900.29,95800.58,48698.13
,2015-0053,2015-03-31,SUPERIOR ELECTRIC                                           ,SUPERIOR ELECTRIC                                           ,,CLOSED,322.77,645.54,322.77
,2015-0054,2015-05-20,TP BUILDERS INC.                                            ,TP BUILDERS INC.                                            ,,CLOSED,52629.83,105259.66,29638.84
,2015-0055,2015-06-11,HIGHWAY SAFETY SOLUTIONS INC.                               ,HIGHWAY SAFETY SOLUTIONS INC.                               ,,CLOSED,61.22,61.22,0.0
,2016-0002,2015-09-10,AUTHORITY FLOORING                                          ,AUTHORITY FLOORING                                          ,,CLOSED,1602.82,3205.64,1602.1
,2016-0005,2015-09-22,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,52349.96,104699.92,1796.8
,2016-0006,2015-10-27,"DP MASONRY, INC                                             ","DP MASONRY, INC                                             ",,CLOSED,12334.93,24669.86,0.0
,2016-0008,2015-11-05,"COMER CONTRACTING, INC.                                     ","COMER CONTRACTING, INC.                                     ",,CLOSED,44.0,44.0,0.0
,2016-0009,2015-11-17,INTERSTATE ELECTRICAL SERVICES                              ,INTERSTATE ELECTRICAL SERVICES                              ,,CLOSED,5057.21,10114.42,4617.43
,2016-0004,2015-11-24,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,155826.86,311653.72,5348.43
,2016-0017,2015-11-24,CUMPLIDO INDUSTRIES                                         ,CUMPLIDO INDUSTRIES                                         ,,OPEN,9035.49,18070.98,0.0
,2016-0010,2015-11-25,RI TIMBER                                                   ,RI TIMBER                                                   ,,CLOSED,23260.05,46520.1,15907.96
,2016-0011,2015-11-25,RI TIMBER                                                   ,RI TIMBER                                                   ,,CLOSED,13996.49,27992.98,10716.06
,2016-0025,2015-12-02,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,3610.63,7221.26,123.93
,2016-0034,2015-12-28,"HARTFORD SITE CONSTRUCTION, LLC                             ","HARTFORD SITE CONSTRUCTION, LLC                             ",,CLOSED,26.22,26.22,0.0
,2017-0011,2015-12-28,HARTFORD PAVING CORPORATION                                 ,HARTFORD PAVING CORPORATION                                 ,,CLOSED,2426.15,6852.3,4426.15
,2016-0012,2016-01-06,RI TIMBER CORP                                              ,RI TIMBER CORP                                              ,,CLOSED,912.42,1824.84,696.58
,2016-0013,2016-01-06,RI TIMBER CORP                                              ,RI TIMBER CORP                                              ,,CLOSED,4164.98,8329.96,3074.05
,2016-0014,2016-01-06,RI TIMBER CORP                                              ,RI TIMBER CORP                                              ,,CLOSED,2747.02,5494.04,2599.5
,2016-0032,2016-01-16,"R.T. NUNES & SONS, INC.                                     ","R.T. NUNES & SONS, INC.                                     ",,CLOSED,615.93,1231.86,0.0
,2016-0019,2016-01-22,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,3610.63,7221.26,123.93
,2016-0018,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,3610.63,7221.26,49.57
,2016-0020,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,3610.63,7221.26,123.93
,2016-0021,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,3610.63,7221.26,123.93
,2016-0022,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,3610.63,7221.26,123.93
,2016-0023,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,3610.63,7221.26,123.93
,2016-0024,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,3610.63,7221.26,123.93
,2016-0026,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,186473.62,372947.24,6400.32
,2016-0027,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,273507.07,547014.14,9387.55
,2016-0028,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,26629.43,53258.86,914.0
,2016-0029,2016-01-27,C&D INDUSTRIAL LLC                                          ,C&D INDUSTRIAL LLC                                          ,,CLOSED,4704.96,9409.92,161.46
,2016-0030,2016-02-01,ALL ISLAND LANDSCAPE                                        ,ALL ISLAND LANDSCAPE                                        ,,CLOSED,205.01,410.02,205.01
,2017-0006,2016-02-15,"TOWNE GLASS & ALUMINUM, INC                                 ","TOWNE GLASS & ALUMINUM, INC                                 ",,CLOSED,629.23,1258.46,629.23
,2016-0031,2016-03-02,J&R PAINTING RENOVATION                                     ,J&R PAINTING RENOVATION                                     ,,CLOSED,6916.32,13832.64,2186.32
,2017-0002,2016-05-04,DC MASONRY                                                  ,DC MASONRY                                                  ,,CLOSED,423.91,847.82,423.91
,2017-0009,2016-06-22,HEROICA'S PAINTING                                          ,HEROICA'S PAINTING                                          ,,CLOSED,22497.36,33746.04,11248.68
,2017-0007,2016-07-20,TOWNE GLASS & ALUMINUM                                      ,TOWNE GLASS & ALUMINUM                                      ,,CLOSED,4521.64,9043.28,4521.64
,2017-0008,2016-07-20,TOWNE GLASS & ALUMINUM                                      ,TOWNE GLASS & ALUMINUM                                      ,,CLOSED,324.2,648.4,324.2
,2017-0001,2016-08-04,J&R PAINTING RENOVATION                                     ,J&R PAINTING RENOVATION                                     ,,CLOSED,6688.99,13377.98,2088.68
,2017-0025,2016-08-26,RSK ENTERPRISES INC                                         ,RSK ENTERPRISES INC                                         ,,CLOSED,21034.62,42069.24,20058.36
,2017-0023,2016-09-23,BEVILACQUA PAVING/ASPHALT                                   ,BEVILACQUA PAVING/ASPHALT                                   ,,CLOSED,20368.58,40737.16,17820.15
,2017-0027,2016-10-07,"SEATING CONCEPTS, LLC                                       ","SEATING CONCEPTS, LLC                                       ",,CLOSED,5291.1,10582.2,5291.1
,2017-0028,2016-10-25,J D CEMENT WORKS INC                                        ,J D CEMENT WORKS INC                                        ,,CLOSED,69845.65,139691.3,71166.64
,2017-0026,2016-11-14,D'ERCOLE CONSTRUCTION INC.                                  ,D'ERCOLE CONSTRUCTION INC.                                  ,,CLOSED,11316.45,22632.9,11316.45
,2017-0030,2017-03-15,AMERICAN CONSTRUCTION TRADES                                ,AMERICAN CONSTRUCTION TRADES                                ,,CLOSED,10972.71,25445.42,13026.11
,2017-0029,2017-03-17,"GPS - GILS PROPERTY SERVICES, LLC                           ","GPS - GILS PROPERTY SERVICES, LLC                           ",,CLOSED,184.06,368.12,184.06
,2017-0031,2017-03-24,"ACME ABATEMENT CONTRACTOR, INC.                             ","ACME ABATEMENT CONTRACTOR, INC.                             ",,CLOSED,29807.09,59614.18,29807.09
,2017-0032,2017-03-24,TOWER CONSTRUCTION CORPORATION                              ,TOWER CONSTRUCTION CORPORATION                              ,,CLOSED,595.77,1191.54,0.0
,2017-0033,2017-05-16,BEVILACQUA ASPHALT CORPORATION                              ,BEVILACQUA ASPHALT CORPORATION                              ,,CLOSED,418.15,836.3,418.15
,2017-0036,2017-05-16,BEVILAQUA ASPHALT CORPORATION                               ,BEVILAQUA ASPHALT CORPORATION                               ,,CLOSED,2105.63,3158.45,1052.81
,2018-0001,2017-07-14,J.D. CEMENT WORKS                                           ,J.D. CEMENT WORKS                                           ,,CLOSED,39079.97,78159.94,39080.16
,2018-0002,2017-07-14,SCHOLAR PAINTING                                            ,SCHOLAR PAINTING                                            ,,CLOSED,6462.85,12925.7,6462.85
,2018-0003,2017-07-14,J.D. CEMENT WORKS                                           ,J.D. CEMENT WORKS                                           ,,CLOSED,29201.66,58403.32,27927.84
,2018-0006,2017-07-21,JD CEMENT WORKS                                             ,JD CEMENT WORKS                                             ,,CLOSED,5806.16,11612.32,5748.96
,2018-0004,2017-07-24,J.D. CEMENT WORKS                                           ,J.D. CEMENT WORKS                                           ,,CLOSED,32534.76,65069.52,677.81
,2018-0007,2017-07-25,JD CEMENT WORKS                                             ,JD CEMENT WORKS                                             ,,CLOSED,78487.61,156975.22,73856.74
,2018-0005,2017-07-31,KRYSTAL GLASS & REPAIR                                      ,KRYSTAL GLASS & REPAIR                                      ,,CLOSED,14832.84,29665.68,0.0
,2018-0008,2017-08-02,VILLALOBOS CONSTRUCTION INC.                                ,VILLALOBOS CONSTRUCTION INC.                                ,,CLOSED,4254.05,8508.1,4254.05
,2019-0023,2017-09-12,JDM ENTERPRISES INC. DBA SERVPRO OF PROVIDENCE              ,JDM ENTERPRISES INC. DBA SERVPRO OF PROVIDENCE              ,,CLOSED,18808.25,37616.5,18808.25
,2018-0009,2017-09-21,PATCH MANAGEMENT INC.                                       ,PATCH MANAGEMENT INC.                                       ,,OPEN,250864.97,627162.43,0.0
,2018-0011,2017-10-03,"RJ FORBES PAINTING CONTRACTOR, INC.                         ","RJ FORBES PAINTING CONTRACTOR, INC.                         ",,CLOSED,2947.39,5894.78,2947.39
,2018-0010,2017-12-01,VETERANS SCAFFOLD SERVICES INC                              ,VETERANS SCAFFOLD SERVICES INC                              ,,CLOSED,1012.01,2024.02,6211.2
,2018-0012,2018-03-14,"ADVANCED TELESYSTEMS GROUP, INC.                            ","ADVANCED TELESYSTEMS GROUP, INC.                            ",,CLOSED,65.64,65.64,0.0
,2018-0013,2018-04-03,"SEAPORT MASONRY, INC.                                       ","SEAPORT MASONRY, INC.                                       ",,CLOSED,11080.17,22160.34,10464.52
,2018-0014,2018-05-09,"AIR CLEANING SPECIALISTS OF NE, LLC                         ","AIR CLEANING SPECIALISTS OF NE, LLC                         ",,CLOSED,1398.86,2797.72,1398.86
,2018-0016,2018-06-28,"ENCORE HOLDINGS, LLC                                        ","ENCORE HOLDINGS, LLC                                        ",,CLOSED,54.43,108.86,0.0
,2018-0017,2018-06-28,"ENCORE HOLDINGS, LLC                                        ","ENCORE HOLDINGS, LLC                                        ",,CLOSED,211.54,423.08,0.0
,2018-0018,2018-06-28,"AMERICAN CONSTRUCTION TRADES, INCORPORATED                  ","AMERICAN CONSTRUCTION TRADES, INCORPORATED                  ",,CLOSED,618.81,839.14,897.6
,2018-0019,2018-06-28,GJ SALES COMPANY                                            ,GJ SALES COMPANY                                            ,,CLOSED,31.82,31.82,0.0
,2018-0020,2018-06-28,GJ SALES COMPANY                                            ,GJ SALES COMPANY                                            ,,CLOSED,94.78,94.78,0.0
,2018-0022,2018-06-28,"AEP SERVICES, INC.                                          ","AEP SERVICES, INC.                                          ",,CLOSED,827.28,1654.56,827.28
,2018-0023,2018-06-28,"JOHNSON LANDSCAPING, INC.                                   ","JOHNSON LANDSCAPING, INC.                                   ",,CLOSED,206.08,412.16,206.08
,2019-0001,2018-07-11,"XPRESS SWEEPING, INC.                                       ","XPRESS SWEEPING, INC.                                       ",,CLOSED,3112.94,6225.88,3113.04
,2019-0002,2018-07-11,"XPRESS SWEEPING, INC.                                       ","XPRESS SWEEPING, INC.                                       ",,CLOSED,4630.94,9261.88,9298.74
,2019-0003,2018-07-11,"XPRESS SWEEPING, INC.                                       ","XPRESS SWEEPING, INC.                                       ",,CLOSED,928.2,1856.4,37197.6
,2019-0004,2018-07-11,"XPRESS SWEEPING, INC.                                       ","XPRESS SWEEPING, INC.                                       ",,CLOSED,925.64,1851.28,2462.22
,2019-0005,2018-07-11,"XPRESS SWEEPING, INC.                                       ","XPRESS SWEEPING, INC.                                       ",,CLOSED,2171.09,4342.18,2206.75
,2019-0006,2018-07-11,"XPRESS SWEEPING, INC.                                       ","XPRESS SWEEPING, INC.                                       ",,CLOSED,2599.61,5199.22,2382.93
,2019-0007,2018-07-11,"XPRESS SWEEPING, INC.                                       ","XPRESS SWEEPING, INC.                                       ",,CLOSED,902.9,1805.8,2474.3
,2019-0008,2018-07-11,"XPRESS SWEEPING, INC.                                       ","XPRESS SWEEPING, INC.                                       ",,CLOSED,1013.56,2027.12,1018.32
,2019-0009,2018-07-18,"E&D SPECIALTY STRANDS, INC.                                 ","E&D SPECIALTY STRANDS, INC.                                 ",,CLOSED,844.18,1688.36,844.18
,2019-0010,2018-07-18,"SPRINTURF, LLC                                              ","SPRINTURF, LLC                                              ",,CLOSED,2011.2,4022.4,0.0
