state_name,2021,in millions,population,per capita,weekly,two adults,low_cost_plan_grocery_estimate
Michigan,31405.5," $31,405,500,000.00 ",10050811," $3,124.67 ", $60.09 , $120.18 , $223.53 
Minnesota,15117.9," $15,117,900,000.00 ",5707390," $2,648.83 ", $50.94 , $101.88 , $189.49 
Mississippi,8559.8," $8,559,800,000.00 ",2949965," $2,901.66 ", $55.80 , $111.60 , $207.57 
Missouri,17486.5," $17,486,500,000.00 ",6168187," $2,834.95 ", $54.52 , $109.04 , $202.80 
Montana,3738.5," $3,738,500,000.00 ",1104271," $3,385.49 ", $65.11 , $130.21 , $242.18 
Nebraska,5903.9," $5,903,900,000.00 ",1963692," $3,006.53 ", $57.82 , $115.64 , $215.07 
Nevada,10164.5," $10,164,500,000.00 ",3143991," $3,232.99 ", $62.17 , $124.35 , $231.27 
New Hampshire,5190.3," $5,190,300,000.00 ",1388992," $3,736.74 ", $71.86 , $143.72 , $267.31 
New Jersey,29707.7," $29,707,700,000.00 ",9267130," $3,205.71 ", $61.65 , $123.30 , $229.32 
New Mexico,6128.6," $6,128,600,000.00 ",2115877," $2,896.48 ", $55.70 , $111.40 , $207.20 
New York,61842.5," $61,842,500,000.00 ",19835912," $3,117.70 ", $59.96 , $119.91 , $223.03 
North Carolina,32514.3," $32,514,300,000.00 ",10551162," $3,081.58 ", $59.26 , $118.52 , $220.44 
North Dakota,2208.2," $2,208,200,000.00 ",774948," $2,849.48 ", $54.80 , $109.60 , $203.84 
Ohio,37854," $37,854,000,000.00 ",11780017," $3,213.41 ", $61.80 , $123.59 , $229.87 
Oklahoma,9412.1," $9,412,100,000.00 ",3986639," $2,360.91 ", $45.40 , $90.80 , $168.89 
Oregon,14574.1," $14,574,100,000.00 ",4246155," $3,432.31 ", $66.01 , $132.01 , $245.53 
Pennsylvania,39267," $39,267,000,000.00 ",12964056," $3,028.91 ", $58.25 , $116.50 , $216.67 
Rhode Island,3395.7," $3,395,700,000.00 ",1095610," $3,099.37 ", $59.60 , $119.21 , $221.72 
South Carolina,16346.2," $16,346,200,000.00 ",5190705," $3,149.13 ", $60.56 , $121.12 , $225.27 
South Dakota,2504.1," $2,504,100,000.00 ",895376," $2,796.70 ", $53.78 , $107.57 , $200.06 
Tennessee,18216.9," $18,216,900,000.00 ",6975218," $2,611.66 ", $50.22 , $100.45 , $186.83 
Texas,86580.3," $86,580,300,000.00 ",29527940," $2,932.15 ", $56.39 , $112.77 , $209.75 
Utah,9312.1," $9,312,100,000.00 ",3337975," $2,789.75 ", $53.65 , $107.30 , $199.57 
Vermont,2461.3," $2,461,300,000.00 ",645570," $3,812.60 ", $73.32 , $146.64 , $272.74 
Virginia,26976.3," $26,976,300,000.00 ",8642274," $3,121.44 ", $60.03 , $120.06 , $223.29 
Washington,25214.6," $25,214,600,000.00 ",7738692," $3,258.25 ", $62.66 , $125.32 , $233.08 
West Virginia,5567.6," $5,567,600,000.00 ",1782959," $3,122.67 ", $60.05 , $120.10 , $223.38 
Wisconsin,16650.2," $16,650,200,000.00 ",5895908," $2,824.03 ", $54.31 , $108.62 , $202.02 
Wyoming,1896.6," $1,896,600,000.00 ",578803," $3,276.76 ", $63.01 , $126.03 , $234.41 
